player_name,team,height,min_year,max_year,pos_class,type,avg_box_plus_minus,avg_box_offensive_plus_minus,avg_box_defensive_plus_minus,avg_global_plus_minus,avg_offensive_global_plus_minus,avg_defensive_global_plus_minus,total_min_per,avg_offensive_rating,avg_defensive_rating,avg_defensive_points_ov_replacement,avg_defensive_stop,avg_usage_rate,avg_effective_field_goal_pct,avg_shooting_pct,avg_offensive_rebound_pct,avg_defensive_rebound_pct,avg_freethrow_made,avg_freethrow_attempted,avg_2p_made,avg_2p_attempted,avg_3p_made,avg_3p_attempted,avg_block_pct,avg_steal_pct,avg_pick,avg_offensive_reb,avg_defensive_reb,avg_total_reb,avg_assists,avg_steals,avg_blocks,avg_points_scored,avg_freethrow_pct,avg_2p_pct,avg_3p_pct,ncaa_id,cluster,PC1,PC2
Dusty Hannahs,Arkansas,190.5,2016,2017,Combo G,"Little Rock, AR",1.5013685,4.34467,-2.843305,4.457525,5.788335,-1.330818,128.3,115.3254092,14073.5097,282.813514,15151.1565,24.37895557,55.00085737,59.92884645,2.496492595,6.293842557,13325.2,15002.1,11993.8,24700.0,9959.0,24239.7,30.95,2.3,0.0,73.81996,192.56873,266.37586,134.10504,69.00836,6.87709,1988.34459,0.888222316,0.485578947,0.41085492,11768,1,,
Dwayne Bacon,Florida St.,200.66,2016,2017,Wing G,"Lakeland, FL",1.886928,2.25253,-0.365601,3.27381,3.13832,0.1354875,143.7,105.6058455,14770.0719,472.462887,25892.2113,27.35010438,49.65281837,53.24734864,4.698538622,14.64425887,15375.0,20977.8,23638.5,46341.9,6398.4,20485.8,35.97,3.8,5748.0,169.00293,548.83404,717.83697,230.93082,141.59202,10.33758,2370.78819,0.732917656,0.510089142,0.312333421,11784,1,,
Dwight Powell,Stanford,208.28,2011,2014,Wing F,"Bradenton, FL",4.7804,0.6832475,4.09715,3.9118225,0.990245,2.9215775,257.9,101.7925553,24229.57064,906.302749,51922.0997,23.98759209,47.89651028,53.23659558,7.347033734,20.58169833,28203.1,38987.1,33584.7,69640.6,2407.7,7857.1,908.38,8.5,11605.5,448.02537,1241.0243,1689.05723,500.51715,242.93774,233.35564,2987.4591,0.723395687,0.482257476,0.306436217,11828,0,,
Dylan Windler,Belmont,203.2,2016,2019,Stretch 4,"Indianapolis, IN",6.4144625,3.8318925,2.582565,5.95434425,4.11386975,1.8404725,294.7,122.1841534,28795.13467,1005.480905,65144.3222,19.57478792,63.04879539,65.30787581,6.801017984,22.53440787,22537.5,29354.0,30170.9,45207.5,17515.9,42528.6,772.89,7.6,7662.2,494.40018,1922.61231,2417.00824,619.8574,307.43049,230.51031,4214.89964,0.767782926,0.667387049,0.411861665,11945,0,,
E'Twaun Moore,Purdue,193.04,2010,2011,Combo G,"East Chicago, IN",7.932905,5.1707,2.762205,8.55956,5.848925,2.71064,162.9,108.148496,15183.37503,719.454717,33869.8946,27.23370166,50.88440761,53.86571516,4.280785758,11.68078576,16290.0,22654.9,25382.9,52828.6,9911.5,26231.0,213.54,5.0,8959.5,198.37255,536.58779,734.96034,476.67895,216.16031,67.10881,2808.8451,0.719049742,0.480476484,0.377854447,11963,0,,
E.J. Liddell,Ohio St.,200.66,2020,2022,PF/C,"Belleville, IL",7.457106667,3.968690667,3.48841,7.226986667,4.882039,2.344963333,191.9,113.1124544,18816.80783,645.650339,34271.2998,27.5278791,52.07420532,57.42669098,8.167847837,18.59244398,25025.1,33229.9,24583.8,46452.9,5833.9,16654.2,1232.53,3.8,7867.9,351.8383,910.15178,1261.99423,336.3722,108.3087,317.51525,2977.24663,0.753089838,0.52921992,0.350296021,11981,2,,
Edmond Sumner,Xavier,198.12,2015,2017,Scoring PG,"Franklin, MI",5.82154,3.304345,2.517195,6.28764,3.33506,2.95258,104.6,106.8720841,10440.4074,360.869616,15582.1918,24.0667304,47.25927342,53.96359465,2.082026769,12.48470363,11168.0,15287.6,8601.4,17881.2,2022.2,6903.4,176.22,5.0,5439.2,56.24088,343.1022,399.34308,441.1611,132.85582,46.15914,1330.82944,0.730526701,0.481030356,0.292928122,12115,1,,
Ekpe Udoh,Baylor,320.04,2010,2010,C,"Edmond, OK",11.5652,4.36662,7.19855,8.83903,4.87541,3.96362,88.0,110.5,8224.2248,413.87632,24110.768,23.0,49.1,52.99,12.8,17.6,9680.0,13992.0,15664.0,31504.0,616.0,2288.0,968.0,1.4,528.0,316.8,538.0584,854.8584,241.3752,72.9168,329.3752,1224.4584,0.691823899,0.497206704,0.269230769,12199,2,,
Elijah Hughes,Syracuse,198.12,2019,2020,Wing G,"Beacon, NY",5.55063,4.077285,1.473339,6.281395,4.83689,1.4444995,172.3,108.8034243,17307.70476,656.677391,36208.0988,23.19077191,52.41955891,56.29735926,1.771271039,12.97011027,17901.3,22674.2,16453.6,32299.2,14170.2,39852.8,548.39,4.1,6719.7,91.93662,708.93684,800.87445,429.71754,205.63618,138.49967,2846.6614,0.789500842,0.509411998,0.355563474,12338,0,,
Elliot Williams,Memphis,167.64,2010,2010,Combo G,"Collierville, TN",4.81809,5.46123,-0.64314,6.0389,5.84748,0.191424,83.3,112.8,8332.2491,279.334888,15607.8377,27.7,53.6,59.85,2.7,11.3,16160.2,21324.8,9829.4,18659.2,4998.0,13661.2,33.32,2.4,1832.6,61.25049,269.50049,330.75098,313.59951,110.24755,9.79608,1494.50196,0.7578125,0.526785714,0.365853659,12441,1,,
